File Name,Note Distribution (per second)
impro05-01-audioinfluencer.csv,"{2: 1, 3: 0, 4: 1, 5: 1, 6: 0, 7: 1, 8: 0, 9: 1, 10: 2, 11: 1, 12: 1, 13: 0, 14: 0, 15: 1, 16: 1, 17: 1, 18: 1, 19: 1, 20: 1, 21: 2, 22: 1, 23: 2, 24: 2, 25: 1, 26: 1, 27: 2, 28: 1, 29: 1, 30: 1, 31: 2, 32: 0, 33: 1, 34: 1}"
impro05-02-audioinfluencer.csv,"{4: 2, 5: 2, 6: 0, 7: 5, 8: 0, 9: 0, 10: 2, 11: 4, 12: 2, 13: 1, 14: 2, 15: 3, 16: 4, 17: 2, 18: 2, 19: 0, 20: 3, 21: 4, 22: 2, 23: 1, 24: 1, 25: 2, 26: 0, 27: 0, 28: 2, 29: 1, 30: 1, 31: 0, 32: 0, 33: 4, 34: 2, 35: 1, 36: 2, 37: 3, 38: 3, 39: 4, 40: 5, 41: 4, 42: 4, 43: 5, 44: 1, 45: 3, 46: 1, 47: 0, 48: 0, 49: 1, 50: 0, 51: 0, 52: 2, 53: 1, 54: 0, 55: 2, 56: 1, 57: 0, 58: 0, 59: 2, 60: 1}"
impro05-03-audioinfluencer.csv,"{5: 2, 6: 1, 7: 1, 8: 0, 9: 0, 10: 1, 11: 1, 12: 1, 13: 1, 14: 0, 15: 1, 16: 1, 17: 1, 18: 2, 19: 2, 20: 2, 21: 1, 22: 2, 23: 1, 24: 2, 25: 0, 26: 1, 27: 2, 28: 2, 29: 2, 30: 2, 31: 1, 32: 2, 33: 1, 34: 2, 35: 1, 36: 1, 37: 1, 38: 1, 39: 2, 40: 2, 41: 2, 42: 1, 43: 0, 44: 1, 45: 1, 46: 1, 47: 2, 48: 1, 49: 1}"
impro05-04-audioinfluencer.csv,"{3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 2, 9: 2, 10: 1, 11: 0, 12: 0, 13: 2, 14: 1, 15: 2, 16: 1, 17: 2, 18: 1, 19: 1, 20: 2, 21: 1, 22: 2, 23: 0, 24: 1, 25: 2, 26: 2, 27: 1, 28: 1, 29: 0, 30: 1, 31: 0, 32: 1, 33: 2, 34: 1, 35: 1, 36: 1, 37: 0, 38: 1, 39: 1, 40: 1, 41: 1, 42: 0, 43: 1, 44: 0, 45: 0, 46: 1, 47: 1, 48: 1, 49: 1, 50: 0, 51: 0, 52: 0, 53: 0, 54: 1, 55: 1, 56: 0, 57: 1, 58: 1}"
impro05-05-audioinfluencer.csv,"{4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 0, 10: 2, 11: 1, 12: 1, 13: 0, 14: 0, 15: 2, 16: 0, 17: 1, 18: 1, 19: 2, 20: 1, 21: 2, 22: 0, 23: 0, 24: 2, 25: 1, 26: 0, 27: 1, 28: 1, 29: 1, 30: 1, 31: 1, 32: 2, 33: 0, 34: 1, 35: 0, 36: 1, 37: 2, 38: 1, 39: 1, 40: 2, 41: 1, 42: 2, 43: 2, 44: 1, 45: 1, 46: 1, 47: 1, 48: 1, 49: 1, 50: 0, 51: 1, 52: 1, 53: 2, 54: 1, 55: 1, 56: 2, 57: 1, 58: 1, 59: 0, 60: 2, 61: 0, 62: 1}"
impro05-06-audioinfluencer.csv,"{3: 2, 4: 1, 5: 1, 6: 1, 7: 0, 8: 0, 9: 1, 10: 1, 11: 1, 12: 1, 13: 1, 14: 2, 15: 1, 16: 1, 17: 0, 18: 1, 19: 1, 20: 1, 21: 1, 22: 0, 23: 0, 24: 0, 25: 0, 26: 0, 27: 1, 28: 0, 29: 2, 30: 1, 31: 1, 32: 1, 33: 2, 34: 1, 35: 2, 36: 0, 37: 0, 38: 0, 39: 1, 40: 1, 41: 0, 42: 2, 43: 0, 44: 1, 45: 1, 46: 1, 47: 1, 48: 1, 49: 1, 50: 2, 51: 0, 52: 0, 53: 1, 54: 1, 55: 1, 56: 0, 57: 0, 58: 0, 59: 1, 60: 1, 61: 0, 62: 2, 63: 0, 64: 0, 65: 1}"
impro05-07-audioinfluencer.csv,"{3: 1, 4: 1, 5: 2, 6: 2, 7: 2, 8: 1, 9: 1, 10: 2, 11: 1, 12: 2, 13: 1, 14: 1, 15: 2, 16: 1, 17: 1, 18: 1, 19: 0, 20: 1, 21: 1, 22: 1, 23: 1, 24: 1, 25: 2, 26: 1, 27: 2, 28: 2, 29: 1, 30: 1, 31: 2, 32: 2, 33: 1, 34: 2, 35: 2, 36: 1, 37: 2, 38: 1, 39: 1, 40: 2, 41: 1, 42: 2, 43: 1, 44: 1, 45: 2, 46: 1, 47: 2, 48: 1, 49: 1, 50: 2, 51: 2, 52: 1, 53: 1, 54: 1, 55: 2, 56: 1, 57: 2, 58: 2, 59: 0, 60: 2, 61: 1}"
impro05-08-audioinfluencer.csv,"{4: 2, 5: 1, 6: 1, 7: 3, 8: 1, 9: 0, 10: 0, 11: 1, 12: 2, 13: 0, 14: 2, 15: 3, 16: 3, 17: 0, 18: 0, 19: 0, 20: 0, 21: 1, 22: 1, 23: 1, 24: 0, 25: 0, 26: 3, 27: 3, 28: 2, 29: 1, 30: 0, 31: 4, 32: 2, 33: 3, 34: 2, 35: 1, 36: 0, 37: 0, 38: 1, 39: 1, 40: 0, 41: 1, 42: 0, 43: 0, 44: 1, 45: 1, 46: 1, 47: 0, 48: 0, 49: 1, 50: 0, 51: 0, 52: 1, 53: 0, 54: 0, 55: 0, 56: 1}"
impro05-09-audioinfluencer.csv,"{3: 2, 4: 2, 5: 1, 6: 2, 7: 1, 8: 1, 9: 1, 10: 2, 11: 0, 12: 2, 13: 1, 14: 1, 15: 2, 16: 1, 17: 2, 18: 2, 19: 1, 20: 1, 21: 1, 22: 1, 23: 1, 24: 1, 25: 1, 26: 0, 27: 2, 28: 0, 29: 1, 30: 2, 31: 1, 32: 2, 33: 0, 34: 1, 35: 1, 36: 0, 37: 0, 38: 1, 39: 2, 40: 2, 41: 1, 42: 1, 43: 2, 44: 1, 45: 0, 46: 0, 47: 0, 48: 1, 49: 0, 50: 0, 51: 0, 52: 0, 53: 2}"
impro05-10-audioinfluencer.csv,"{4: 1, 5: 6, 6: 3, 7: 1, 8: 2, 9: 2, 10: 3, 11: 1, 12: 5, 13: 1, 14: 3, 15: 3, 16: 5, 17: 5, 18: 6, 19: 5, 20: 4, 21: 6, 22: 5, 23: 4, 24: 5, 25: 4, 26: 0, 27: 0, 28: 3, 29: 4, 30: 3, 31: 0, 32: 3, 33: 5, 34: 4, 35: 1, 36: 1, 37: 4, 38: 3, 39: 1, 40: 2, 41: 4, 42: 2, 43: 0, 44: 3, 45: 2, 46: 2, 47: 2, 48: 1, 49: 1, 50: 2, 51: 3, 52: 3, 53: 1, 54: 1, 55: 5, 56: 2, 57: 3, 58: 3, 59: 4, 60: 4, 61: 5, 62: 3, 63: 1}"
impro05-11-audioinfluencer.csv,"{1: 1, 2: 0, 3: 1, 4: 2, 5: 0, 6: 0, 7: 1, 8: 0, 9: 1, 10: 2, 11: 0, 12: 0, 13: 1, 14: 1, 15: 0, 16: 2, 17: 0, 18: 0, 19: 1, 20: 2, 21: 1, 22: 1, 23: 0, 24: 1, 25: 0, 26: 0, 27: 1, 28: 0, 29: 0, 30: 2, 31: 2, 32: 0, 33: 1, 34: 1, 35: 1, 36: 1, 37: 2, 38: 0, 39: 2, 40: 2, 41: 1, 42: 1, 43: 1, 44: 1, 45: 0, 46: 1, 47: 1, 48: 1, 49: 2, 50: 1, 51: 1, 52: 1, 53: 2, 54: 0, 55: 1, 56: 2, 57: 1, 58: 1, 59: 1, 60: 1}"
impro05-12-audioinfluencer.csv,"{2: 1, 3: 3, 4: 2, 5: 3, 6: 3, 7: 1, 8: 2, 9: 3, 10: 3, 11: 1, 12: 4, 13: 3, 14: 4, 15: 3, 16: 3, 17: 3, 18: 3, 19: 3, 20: 4, 21: 2, 22: 1, 23: 3, 24: 1, 25: 2, 26: 3, 27: 2, 28: 1, 29: 4, 30: 3, 31: 2, 32: 4, 33: 0, 34: 1, 35: 1, 36: 3, 37: 3, 38: 0, 39: 1, 40: 1, 41: 3, 42: 4, 43: 2, 44: 3, 45: 1, 46: 2, 47: 0, 48: 2, 49: 1, 50: 1, 51: 0, 52: 4, 53: 3, 54: 1, 55: 2, 56: 1, 57: 1, 58: 0, 59: 1, 60: 1}"
impro05-13-audioinfluencer.csv,"{3: 1, 4: 2, 5: 1, 6: 0, 7: 1, 8: 2, 9: 1, 10: 1, 11: 0, 12: 1, 13: 2, 14: 1, 15: 0, 16: 1, 17: 2, 18: 1, 19: 0, 20: 1, 21: 2, 22: 1, 23: 0, 24: 1, 25: 1, 26: 1, 27: 2, 28: 0, 29: 1, 30: 1, 31: 2, 32: 1, 33: 2, 34: 2, 35: 2, 36: 1, 37: 1, 38: 1, 39: 1, 40: 1, 41: 2, 42: 0, 43: 0, 44: 0, 45: 0, 46: 1, 47: 0, 48: 1, 49: 0, 50: 1, 51: 0, 52: 1, 53: 0, 54: 1, 55: 0, 56: 1, 57: 1, 58: 1, 59: 1, 60: 1}"
impro05-14-audioinfluencer.csv,"{4: 1, 5: 2, 6: 0, 7: 0, 8: 2, 9: 1, 10: 1, 11: 1, 12: 0, 13: 0, 14: 1, 15: 2, 16: 0, 17: 1, 18: 1, 19: 1, 20: 1, 21: 1, 22: 0, 23: 0, 24: 1, 25: 1, 26: 1, 27: 2, 28: 1, 29: 2, 30: 1, 31: 1, 32: 0, 33: 1, 34: 1, 35: 1, 36: 1, 37: 1, 38: 1, 39: 2, 40: 1, 41: 0, 42: 2, 43: 1, 44: 1, 45: 1, 46: 2, 47: 1, 48: 2, 49: 1, 50: 0, 51: 2, 52: 2, 53: 1, 54: 1, 55: 2, 56: 1, 57: 1, 58: 2, 59: 1, 60: 2, 61: 1, 62: 1}"
impro05-15-audioinfluencer.csv,"{3: 1, 4: 1, 5: 1, 6: 0, 7: 0, 8: 2, 9: 2, 10: 1, 11: 1, 12: 0, 13: 0, 14: 1, 15: 1, 16: 1, 17: 1, 18: 1, 19: 1, 20: 1, 21: 0, 22: 0, 23: 1, 24: 1, 25: 1, 26: 1, 27: 0, 28: 0, 29: 1, 30: 0, 31: 1, 32: 0, 33: 1, 34: 1, 35: 0, 36: 0, 37: 2, 38: 0, 39: 1, 40: 1, 41: 0, 42: 1, 43: 0, 44: 1, 45: 1, 46: 0, 47: 0, 48: 1, 49: 2, 50: 1, 51: 1, 52: 1, 53: 1, 54: 1, 55: 1, 56: 1, 57: 2, 58: 1, 59: 0, 60: 1, 61: 1}"
impro05-16-audioinfluencer.csv,"{4: 1, 5: 1, 6: 1, 7: 1, 8: 0, 9: 2, 10: 2, 11: 1, 12: 1, 13: 0, 14: 0, 15: 2, 16: 0, 17: 1, 18: 2, 19: 1, 20: 0, 21: 1, 22: 2, 23: 0, 24: 0, 25: 1, 26: 0, 27: 2, 28: 2, 29: 1, 30: 2, 31: 2, 32: 2, 33: 2, 34: 1, 35: 1, 36: 0, 37: 1, 38: 2, 39: 1, 40: 1, 41: 1, 42: 1, 43: 1, 44: 1, 45: 2, 46: 1, 47: 1, 48: 1, 49: 1, 50: 0, 51: 1, 52: 2, 53: 1, 54: 1, 55: 0, 56: 1, 57: 0, 58: 1, 59: 0, 60: 1}"
impro05-17-audioinfluencer.csv,"{3: 2, 4: 4, 5: 4, 6: 4, 7: 5, 8: 4, 9: 2, 10: 4, 11: 4, 12: 3, 13: 5, 14: 1, 15: 2, 16: 4, 17: 3, 18: 2, 19: 2, 20: 4, 21: 3, 22: 2, 23: 4, 24: 3, 25: 4, 26: 4, 27: 3, 28: 4, 29: 3, 30: 1, 31: 3, 32: 0, 33: 2, 34: 1, 35: 2, 36: 2, 37: 2, 38: 1, 39: 2, 40: 1, 41: 1, 42: 4, 43: 4, 44: 5, 45: 4, 46: 3, 47: 4, 48: 1, 49: 5, 50: 4, 51: 4, 52: 3, 53: 1}"
impro05-18-audioinfluencer.csv,"{3: 1, 4: 2, 5: 0, 6: 2, 7: 1, 8: 2, 9: 2, 10: 3, 11: 2, 12: 1, 13: 0, 14: 2, 15: 1, 16: 3, 17: 4, 18: 2, 19: 1, 20: 2, 21: 0, 22: 0, 23: 0, 24: 0, 25: 0, 26: 1, 27: 1, 28: 0, 29: 2, 30: 0, 31: 2, 32: 1, 33: 1, 34: 1, 35: 0, 36: 1, 37: 1, 38: 0, 39: 0, 40: 1, 41: 2, 42: 3, 43: 0, 44: 1, 45: 2, 46: 1, 47: 1, 48: 1, 49: 0, 50: 0, 51: 2, 52: 1, 53: 3, 54: 1, 55: 0, 56: 2, 57: 0, 58: 1, 59: 0, 60: 1, 61: 2, 62: 1}"
