File Name,Lowest Note,Highest Note,Note Range,Pitch Values
impro01-01-audioinfluencer.mid,F3,F5,24,"[54, 54, 54, 54, 53, 67, 65, 64, 64, 64, 64, 66, 65, 77, 65, 54, 74, 55]"
impro01-02-audioinfluencer.mid,G#3,B4,15,"[59, 59, 59, 60, 60, 60, 61, 59, 59, 59, 59, 59, 59, 59, 59, 59, 59, 59, 59, 59, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 59, 59, 59, 59, 59, 59, 59, 59, 59, 59, 59, 59, 59, 59, 59, 59, 59, 59, 59, 59, 59, 59, 59, 59, 59, 59, 59, 59, 59, 59, 59, 59, 59, 59, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 59, 59, 59, 59, 59, 59, 59, 59, 59, 59, 59, 59, 59, 59, 59, 59, 59, 59, 59, 59, 59, 59, 59, 59, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 59, 61, 71, 59, 61, 71, 59, 59, 71, 56, 58, 57, 57, 57, 57, 57, 57, 57, 57, 57, 57, 57, 57, 57, 57, 57, 57, 57, 57, 57, 57, 57, 57, 57, 57, 57, 57, 57, 57, 57, 57, 57, 57, 57, 57, 57, 57, 57, 57, 57, 57, 57, 57, 57, 57, 57, 57, 57, 57, 57, 57, 57, 57, 57, 57, 57, 57, 57, 57, 57, 57, 57, 57, 57, 57, 57, 57, 57, 57, 57, 57, 57, 57, 57, 57, 57, 57, 57, 57, 57, 57, 57, 57, 57, 57, 57, 57, 57, 57, 57, 57, 57, 57, 57, 57, 57, 57, 57, 57, 57, 57, 57, 57, 57, 57, 57, 57, 57, 57, 57, 57, 57, 57, 57, 57, 57, 57, 57, 57, 63, 63]"
impro01-03-audioinfluencer.mid,D#4,G4,4,"[63, 66, 67, 66, 66, 66, 66, 66, 66, 66, 66, 66, 65, 66, 66, 66, 66, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 65, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 65, 65, 65, 65, 65, 64, 64, 64, 64, 65, 65, 65, 63, 63, 65, 65, 65, 65, 65, 65, 65, 65, 65, 65, 65, 65, 65, 65, 65, 65, 65, 65, 65, 65, 65, 65, 65, 65, 65, 65, 65, 65, 65, 65, 65, 65, 65, 65, 65, 65, 65, 65, 65, 65, 65, 65, 65, 65, 65, 65, 65, 65, 65, 65, 65, 65, 65, 65, 65, 65, 65, 65, 65, 65, 65, 65, 65, 65, 65, 65, 65, 65, 65, 65, 65, 65, 65, 65, 65, 65, 65, 65, 65, 65, 65, 65, 65, 65, 65, 65, 65, 65, 65, 65, 65, 65, 65, 65, 65, 65, 65, 65, 65, 65, 65, 65, 64, 63]"
impro01-04-audioinfluencer.mid,G3,B4,16,"[58, 69, 69, 57, 55, 71, 59, 61, 57, 57, 57, 57, 57, 57, 57, 57, 57, 57, 57, 57, 57, 57, 57, 57, 57, 57, 57, 57, 57, 57, 57, 57, 57]"
impro01-05-audioinfluencer.mid,C#3,C5,23,"[49, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 65, 65, 66, 66, 66, 65, 65, 66, 66, 65, 66, 66, 66, 66, 66, 66, 63, 63, 49, 71, 49, 65, 50, 49, 71, 72, 72, 72, 72, 72, 72, 72, 55, 55, 64, 71, 71, 50, 64, 63, 56, 55, 70, 63, 64, 63]"
impro01-06-audioinfluencer.mid,A2,D5,29,"[52, 52, 64, 52, 52, 53, 53, 53, 53, 55, 55, 53, 51, 64, 54, 60, 59, 60, 72, 49, 49, 61, 74, 64, 70, 45, 73, 49, 61, 71, 70, 49, 67, 66, 64, 49, 68, 71, 49, 69, 68, 71, 49, 68, 70, 49, 68, 68, 49, 45, 70, 67, 64, 49, 62, 59, 63, 61, 55, 72, 70, 68, 64, 71, 71, 68, 66, 64, 49, 49, 48, 49, 49, 61, 60, 60, 72, 71, 68, 71, 71, 67, 68, 68, 62, 61, 71, 68, 56, 55, 66, 66, 66, 66, 54, 54, 54, 61, 57, 57, 60, 61, 58, 55, 60, 58, 56, 56, 57, 56, 65, 67, 67, 68, 56, 65, 65, 65, 54, 74, 55, 55, 55, 62, 63, 62]"
impro01-07-audioinfluencer.mid,G3,D5,19,"[72, 61, 67, 67, 67, 67, 67, 67, 55, 55, 55, 55, 55, 55, 55, 55, 55, 55, 55, 55, 55, 55, 55, 55, 55, 55, 55, 55, 55, 55, 67, 74, 72, 72, 57]"
impro01-08-audioinfluencer.mid,A2,C#5,28,"[49, 55, 55, 71, 71, 49, 49, 52, 49, 61, 60, 71, 55, 49, 61, 52, 51, 49, 61, 60, 71, 71, 60, 49, 68, 71, 66, 64, 64, 49, 71, 45, 65, 49, 61, 60, 71, 72, 72, 71, 49, 61, 64, 49, 61, 59, 71, 45, 65, 64, 49, 49, 61, 60, 71, 60, 73, 49, 68, 71, 71, 68, 70, 68, 68, 59, 71, 66, 67, 61, 60, 59, 58, 55, 49, 49, 49, 58, 49, 53, 55, 56, 49, 61, 61, 61, 59, 61, 49, 61, 59, 49, 49, 52, 73, 53, 64, 49, 49, 49, 61, 71, 49, 68, 49, 52, 64, 49, 49, 61]"
impro01-09-audioinfluencer.mid,G#2,C4,16,"[50, 53, 54, 54, 54, 54, 54, 54, 53, 44, 57, 53, 60, 53, 55, 55, 54, 52]"
impro01-10-audioinfluencer.mid,B2,G#5,33,"[64, 64, 64, 64, 66, 66, 66, 66, 66, 66, 64, 66, 47, 47, 56, 80, 66, 64, 64, 66, 65, 77, 77, 67, 67, 67, 79, 79, 67, 67, 67, 67, 79, 67, 79, 79, 79, 67, 71, 59, 59, 71, 59, 61, 71, 59, 66, 65, 64, 64, 64, 64, 66]"
impro01-11-audioinfluencer.mid,F#3,C#4,7,"[60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 61, 61, 61, 61, 61, 61, 61, 60, 61, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 61, 60, 60, 60, 60, 60, 60, 60, 60, 61, 60, 60, 60, 60, 60, 60, 60, 60, 61, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 58, 54]"
impro01-12-audioinfluencer.mid,D4,B4,9,"[71, 67, 71, 71, 71, 65, 65, 64, 66, 64, 64, 65, 65, 67, 62, 67, 64, 64, 64, 66, 64, 64, 64, 64]"
impro01-13-audioinfluencer.mid,G3,F#8,59,"[98, 102, 95, 95, 99, 102, 97, 59, 94, 92, 97, 101, 63, 101, 98, 92, 57, 107, 100, 99, 94, 72, 69, 68, 101, 63, 56, 94, 101, 56, 105, 100, 114, 94, 85, 100, 100, 112, 112, 99, 99, 59, 56, 92, 97, 62, 55, 55, 62, 57, 61, 55, 63, 56, 56, 98, 108, 97, 59, 97, 104, 61, 64, 60, 67, 72, 55, 62, 102, 102, 104, 103, 101, 104, 104, 104, 100, 110, 101, 102, 57, 94, 93, 97, 97, 98, 99, 68, 62, 68, 64, 69, 57, 57]"
impro01-14-audioinfluencer.mid,G3,D#5,20,"[72, 71, 71, 71, 70, 71, 71, 71, 72, 71, 71, 71, 71, 71, 71, 60, 72, 71, 71, 71, 71, 72, 71, 71, 67, 62, 65, 56, 67, 73, 56, 62, 66, 57, 67, 66, 63, 57, 62, 67, 74, 75, 67, 63, 56, 55, 55, 57, 59, 55, 56, 56, 56, 68, 68, 68, 56]"
impro01-15-audioinfluencer.mid,C#3,D5,25,"[68, 71, 65, 49, 74, 68, 70, 72, 73, 64, 49, 49, 53, 49, 71, 56, 68, 72]"
impro01-16-audioinfluencer.mid,A3,A#4,13,"[57, 57, 57, 58, 57, 57, 69, 69, 57, 69, 67, 70]"
impro01-17-audioinfluencer.mid,G3,A#3,3,"[56, 55, 58, 56]"
impro01-18-audioinfluencer.mid,F3,G#4,15,"[64, 64, 66, 53, 68, 63, 67, 65, 65, 65]"
